Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
-	R3B	CONV	18C	3_end	960	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0.25	8	85.24	6.61	3.62	1.2	23	NA	NA	NA	NA	NA	2.53E+06	8.00E+07	40	0.460692864	0.08	144	Rioja
-	R3B	CONV	NH4	3_end	456	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0.22	201	94.94	5.92	12.06	1.15	52	8.63	0	0.07	0.21	2.92	1.20E+04	3.20E+07	19	0.725743268	0.16	96	Rioja
-	R3B	CONV	SO2	3_end	576	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0.23	12	90.14	8.11	8.11	1.38	29	9.35	0.86	0.06	1.6	3.03	1.74E+05	8.00E+07	24	0.621998434	0.14	192	Rioja
-	R3B	ECO	Control	3_end	504	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0.24	8	114.52	6.06	10.56	1.34	19	7.8	0.43	0.02	1.32	3.13	2.04E+06	8.00E+07	21	0.458572173	0.14	96	Rioja
-	R3B	ECO	18C	3_end	1128	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0.41	7	95.46	5.38	5.04	1.24	17	8.71	0.5	0	1.33	2.93	1.06E+07	8.00E+07	47	0.307892091	0.06	144	Rioja
-	R3B	ECO	NH4	3_end	456	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0.19	75	102.84	5.28	11.7	1.17	87	7.79	0	0.09	0.15	2.79	1.20E+04	5.60E+07	19	0.991067896	0.15	48	Rioja
-	R3B	ECO	SO2	3_end	936	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0.27	10	104.81	5.75	10.02	1.25	19	8.52	0	0.03	1.05	2.95	3.40E+06	5.64E+07	39	0.505925251	0.07	408	Rioja
-	R3C	CONV	Control	3_end	456	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0.2	0	104.65	6.62	10.87	1.38	23	8.69	0.7	0.03	1.51	3.2	1.70E+06	4.00E+07	19	0.515942627	0.12	144	Rioja
-	R3C	CONV	18C	3_end	1128	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0.27	0	90.72	6.68	8.16	1.07	9	9.34	0.33	0.07	1.44	3.13	2.77E+06	8.00E+07	47	0.585050646	0.08	144	Rioja
-	R3C	CONV	NH4	3_end	504	42.1399912	-1.8824665	Tempranillo	02/09/2020	1098	3.65	0.27	187	115.86	6.39	16.77	1.22	40	7.85	0	0.1	0.14	2.88	5.58E+04	1.36E+08	21	0.750543569	0.13	72	Rioja
