Seq_ID	Origin	Farming	Condition	Region	Stage	Time	Latitude	Longitude	Variety	Must_density	pH_must initial	Sugars	Ammonia	PAN	Malic_acid	Acetic_acid	Glycerol	Lactic_acid	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average
ITS-258	R1	ECO	SO2	La Rioja	T2	408			Tempranillo	1095	3.48	80.58	0	30	1.53	0.29	7.09	9.04	200000	120000000	19	0.684637551	5.068666872
ITS-66	R2	CONV	Control	La Rioja	T0	0	42.1405764	-1.8781454	Tempranillo	1097	3.52	250.76	35	54	1.87	0	0	0	4090	40000000	24	0.50833098	4.033728193
ITS-138	R2	CONV	Control	La Rioja	T1	144	42.1405764	-1.8781454	Tempranillo	1097	3.52	185.26	20	23	1.79	0.13	4.99	1.21	18200000	40000000	24	0.50833098	4.033728193
ITS-208	R2	CONV	Control	La Rioja	T2	432	42.1405764	-1.8781454	Tempranillo	1097	3.52	95.89	0	23	1.45	0.3	8.15	1.43	1860000	40000000	24	0.50833098	4.033728193
ITS-84	R2	CONV	18C	La Rioja	T0	0	42.1405764	-1.8781454	Tempranillo	1097	3.52	248.4	36	53	1.76	0	0	0	4480	40000000	792	0.485506799	0.122159438
ITS-156	R2	CONV	18C	La Rioja	T1	264	42.1405764	-1.8781454	Tempranillo	1097	3.52	171.45	21	22	1.49	0.11	5.56	7.53	16700000	40000000	792	0.485506799	0.122159438
ITS-225	R2	CONV	18C	La Rioja	T2	600	42.1405764	-1.8781454	Tempranillo	1097	3.52	99.11	21	22	1.49	0.11	5.56	7.53	1560000	40000000	792	0.485506799	0.122159438
ITS-102	R2	CONV	NH4	La Rioja	T0	0	42.1405764	-1.8781454	Tempranillo	1097	3.52	227.08	342	75	1.96	0	0	0	5420	40000000	19	0.658515571	5.111118096
ITS-173	R2	CONV	NH4	La Rioja	T1	120	42.1405764	-1.8781454	Tempranillo	1097	3.52	181.09	334	31	1.67	0.17	6.25	13.41	13600000	40000000	19	0.658515571	5.111118096
ITS-242	R2	CONV	NH4	La Rioja	T2	336	42.1405764	-1.8781454	Tempranillo	1097	3.52	103.22	205	54	1.24	0.26	7.53	13.96	1640000	40000000	19	0.658515571	5.111118096
ITS-120	R2	CONV	SO2	La Rioja	T0	0	42.1405764	-1.8781454	Tempranillo	1097	3.52	243.18	39	55	2.08	0	0	0	1920	49200000	21	0.642884973	4.549255613
ITS-191	R2	CONV	SO2	La Rioja	T1	168	42.1405764	-1.8781454	Tempranillo	1097	3.52	164.22	23	33	2.62	0	5.17	0.03	24200000	49200000	21	0.642884973	4.549255613
ITS-260	R2	CONV	SO2	La Rioja	T2	504	42.1405764	-1.8781454	Tempranillo	1097	3.52	35.46	15	16	4.13	0.03	9.26	0.05	0	49200000	21	0.642884973	4.549255613
ITS-65	R2	ECO	Control	La Rioja	T0	0			Tempranillo	1099	3.57	245.52	7	34	1.5	0	0	0	0	40000000	31	0.61878313	3.123624691
ITS-137	R2	ECO	Control	La Rioja	T1	240			Tempranillo	1099	3.57	177.36	16	20	1.41	0.09	5.59	6.7	8800000	40000000	31	0.61878313	3.123624691
ITS-209	R2	ECO	Control	La Rioja	T2	576			Tempranillo	1099	3.57	120.08	0	28	1.16	0.21	7.1	8.2	NA	40000000	31	0.61878313	3.123624691
ITS-83	R2	ECO	18C	La Rioja	T0	0			Tempranillo	1099	3.57	263.95	13	35	1.48	0	0	0	0	31600000	40	0.422908601	2.429903942
ITS-155	R2	ECO	18C	La Rioja	T1	408			Tempranillo	1099	3.57	181.02	7	21	1.64	0.09	5.08	1.88	9000000	31600000	40	0.422908601	2.429903942
ITS-226	R2	ECO	18C	La Rioja	T2	768			Tempranillo	1099	3.57	113.52	7	17	1.32	0.31	6.55	2.18	7120000	31600000	40	0.422908601	2.429903942
ITS-101	R2	ECO	NH4	La Rioja	T0	0			Tempranillo	1099	3.57	238.08	316	51	1.61	0	0	0	0	40000000	19	0.850932951	5.093266215
ITS-172	R2	ECO	NH4	La Rioja	T1	192			Tempranillo	1099	3.57	158.99	222	63	1.5	0.13	6.46	8.17	1200000	40000000	19	0.850932951	5.093266215
ITS-243	R2	ECO	NH4	La Rioja	T2	336			Tempranillo	1099	3.57	103.93	155	41	1.22	0.18	6.76	9.21	1400000	40000000	19	0.850932951	5.093266215
ITS-119	R2	ECO	SO2	La Rioja	T0	0			Tempranillo	1099	3.57	249.16	18	34	1.5	0	0	0	0	20000000	31	0.421685396	3.123432711
ITS-190	R2	ECO	SO2	La Rioja	T1	312			Tempranillo	1099	3.57	167.35	23	10	1.5	0.1	5.82	4.65	14000000	20000000	31	0.421685396	3.123432711
ITS-261	R2	ECO	SO2	La Rioja	T2	600			Tempranillo	1099	3.57	106.83	11	21	1.28	0.23	7.46	5.73	1600000	20000000	31	0.421685396	3.123432711
ITS-68	R3A	CONV	Control	La Rioja	T0	0	42.1399472	-1.8816524	Tempranillo	1098	3.68	254.82	16	49	2.17	0	0	0	40	92000000	40	0.420768992	2.404347791
ITS-140	R3A	CONV	Control	La Rioja	T1	168	42.1399472	-1.8816524	Tempranillo	1098	3.68	170.18	28	12	2.07	0.03	6.33	0.71	137000000	92000000	40	0.420768992	2.404347791
ITS-211	R3A	CONV	Control	La Rioja	T2	600	42.1399472	-1.8816524	Tempranillo	1098	3.68	72.05	6	24	1.46	0.25	8.75	0.76	613000	92000000	40	0.420768992	2.404347791
ITS-86	R3A	CONV	18C	La Rioja	T0	0	42.1399472	-1.8816524	Tempranillo	1098	3.68	246.38	22	47	2.19	0	0	0	NA	NA	NA	NA	NA
ITS-104	R3A	CONV	NH4	La Rioja	T0	0	42.1399472	-1.8816524	Tempranillo	1098	3.68	233.44	323	67	2.34	0	0	0	1480	80000000	24	1.085667553	4.02587583
ITS-175	R3A	CONV	NH4	La Rioja	T1	240	42.1399472	-1.8816524	Tempranillo	1098	3.68	160.69	309	52	1.95	0.31	6.54	7.84	23400000	80000000	24	1.085667553	4.02587583
ITS-245	R3A	CONV	NH4	La Rioja	T2	432	42.1399472	-1.8816524	Tempranillo	1098	3.68	87.13	201	35	1.5	0.32	6.3	8.14	1310000	80000000	24	1.085667553	4.02587583
ITS-122	R3A	CONV	SO2	La Rioja	T0	0	42.1399472	-1.8816524	Tempranillo	1098	3.68	243.84	23	48	2.41	0	0	0	1600	60000000	32	0.398744379	3.03126958
ITS-193	R3A	CONV	SO2	La Rioja	T1	264	42.1399472	-1.8816524	Tempranillo	1098	3.68	177.91	39	19	2.52	0	5.23	0.05	12300000	60000000	32	0.398744379	3.03126958
ITS-263	R3A	CONV	SO2	La Rioja	T2	648	42.1399472	-1.8816524	Tempranillo	1098	3.68	99.06	14	16	2.29	0.27	7.26	0.07	234000	60000000	32	0.398744379	3.03126958
ITS-67	R3A	ECO	Control	La Rioja	T0	0	42.1234189	-1.8844584	Tempranillo	1096	3.51	245.12	36	47	1.86	0	0	0	0	44000000	19	0.649283083	5.104727001
ITS-139	R3A	ECO	Control	La Rioja	T1	144	42.1234189	-1.8844584	Tempranillo	1096	3.51	164.7	6	10	1.54	0.13	5.28	8.14	38600000	44000000	19	0.649283083	5.104727001
ITS-210	R3A	ECO	Control	La Rioja	T2	408	42.1234189	-1.8844584	Tempranillo	1096	3.51	102.05	11	25	1.12	0.24	5.82	8.87	828000	44000000	19	0.649283083	5.104727001
ITS-85	R3A	ECO	18C	La Rioja	T0	0	42.1234189	-1.8844584	Tempranillo	1096	3.51	247.39	40	51	2.05	0	0	0	0	40000000	28	0.569352897	3.461210056
ITS-157	R3A	ECO	18C	La Rioja	T1	264	42.1234189	-1.8844584	Tempranillo	1096	3.51	167.76	22	29	1.42	0.16	5.7	8.85	22800000	40000000	28	0.569352897	3.461210056
ITS-227	R3A	ECO	18C	La Rioja	T2	600	42.1234189	-1.8844584	Tempranillo	1096	3.51	96.24	18	12	0.99	0.31	6.17	9.52	432000	40000000	28	0.569352897	3.461210056
ITS-103	R3A	ECO	NH4	La Rioja	T0	0	42.1234189	-1.8844584	Tempranillo	1096	3.51	217.63	374	67	1.94	0	0	0	0	40000000	19	0.493243803	5.089757197
ITS-174	R3A	ECO	NH4	La Rioja	T1	144	42.1234189	-1.8844584	Tempranillo	1096	3.51	168.73	341	66	2.52	0.34	4.54	0.52	6400000	40000000	19	0.493243803	5.089757197
ITS-244	R3A	ECO	NH4	La Rioja	T2	408	42.1234189	-1.8844584	Tempranillo	1096	3.51	92.4	227	39	1.9	0.42	5.59	0.72	660000	40000000	19	0.493243803	5.089757197
ITS-121	R3A	ECO	SO2	La Rioja	T0	0	42.1234189	-1.8844584	Tempranillo	1096	3.51	242.18	40	49	1.91	0	0	0	0	80000000	19	0.623033743	5.100463982
ITS-192	R3A	ECO	SO2	La Rioja	T1	144	42.1234189	-1.8844584	Tempranillo	1096	3.51	157.35	23	23	1.45	0.12	5.74	12.39	33200000	80000000	19	0.623033743	5.100463982
ITS-262	R3A	ECO	SO2	La Rioja	T2	408	42.1234189	-1.8844584	Tempranillo	1096	3.51	98.5	15	22	1.12	0.28	7.01	14.38	172000	80000000	19	0.623033743	5.100463982
ITS-70	R3B	CONV	Control	La Rioja	T0	0	42.1399979	-1.8821292	Tempranillo	1094	3.52	235.45	34	51	1.86	0	0	0	8100	80000000	47	0.529975313	2.031217241
ITS-142	R3B	CONV	Control	La Rioja	T1	168	42.1399979	-1.8821292	Tempranillo	1094	3.52	168.19	33	7	1.54	0.08	5.16	3.33	8000000	80000000	47	0.529975313	2.031217241
ITS-212	R3B	CONV	Control	La Rioja	T2	624	42.1399979	-1.8821292	Tempranillo	1094	3.52	18.56	8	19	1.23	0.55	9.48	3.54	4560000	80000000	47	0.529975313	2.031217241
ITS-88	R3B	CONV	18C	La Rioja	T0	0	42.1399979	-1.8821292	Tempranillo	1094	3.52	238.13	42	50	1.64	0	0	0	4800	80000000	40	0.460692864	2.421386296
ITS-159	R3B	CONV	18C	La Rioja	T1	288	42.1399979	-1.8821292	Tempranillo	1094	3.52	178.12	34	47	1.63	0.04	4.86	3.18	14500000	80000000	40	0.460692864	2.421386296
ITS-228	R3B	CONV	18C	La Rioja	T2	672	42.1399979	-1.8821292	Tempranillo	1094	3.52	85.24	8	23	1.2	0.25	6.61	3.62	2530000	80000000	40	0.460692864	2.421386296
ITS-106	R3B	CONV	NH4	La Rioja	T0	0	42.1399979	-1.8821292	Tempranillo	1094	3.52	219.21	333	69	1.75	0	0	0	6580	32000000	19	0.725743268	5.104858666
ITS-177	R3B	CONV	NH4	La Rioja	T1	144	42.1399979	-1.8821292	Tempranillo	1094	3.52	135.82	299	66	1.37	0.16	4.71	9.99	13600000	32000000	19	0.725743268	5.104858666
ITS-246	R3B	CONV	NH4	La Rioja	T2	336	42.1399979	-1.8821292	Tempranillo	1094	3.52	94.94	201	52	1.15	0.22	5.92	12.06	12000	32000000	19	0.725743268	5.104858666
ITS-124	R3B	CONV	SO2	La Rioja	T0	0	42.1399979	-1.8821292	Tempranillo	1094	3.52	235.71	35	53	1.71	0	0	0	1000	80000000	24	0.621998434	4.029253924
ITS-195	R3B	CONV	SO2	La Rioja	T1	192	42.1399979	-1.8821292	Tempranillo	1094	3.52	135.58	19	24	1.65	0.07	7.62	6.66	21800000	80000000	24	0.621998434	4.029253924
ITS-264	R3B	CONV	SO2	La Rioja	T2	456	42.1399979	-1.8821292	Tempranillo	1094	3.52	90.14	12	29	1.38	0.23	8.11	8.11	174000	80000000	24	0.621998434	4.029253924
ITS-69	R3B	ECO	Control	La Rioja	T0	0	42.1223076	-1.8856191	Tempranillo	1094	3.47	243.58	16	28	1.71	0	0	0	1160	80000000	20	0.458572173	4.857648895
ITS-141	R3B	ECO	Control	La Rioja	T1	144	42.1223076	-1.8856191	Tempranillo	1094	3.47	158.72	19	4	1.6	0.06	5.53	9.54	2000000	80000000	20	0.458572173	4.857648895
ITS-213	R3B	ECO	Control	La Rioja	T2	408	42.1223076	-1.8856191	Tempranillo	1094	3.47	114.52	8	19	1.34	0.24	6.06	10.56	2040000	80000000	20	0.458572173	4.857648895
ITS-87	R3B	ECO	18C	La Rioja	T0	0	42.1223076	-1.8856191	Tempranillo	1094	3.47	232.69	9	30	1.88	0	0	0	1220	80000000	47	0.307892091	2.067031504
ITS-158	R3B	ECO	18C	La Rioja	T1	264	42.1223076	-1.8856191	Tempranillo	1094	3.47	162.37	37	25	1.78	0.14	4.69	4.67	24500000	80000000	47	0.307892091	2.067031504
ITS-229	R3B	ECO	18C	La Rioja	T2	600	42.1223076	-1.8856191	Tempranillo	1094	3.47	95.46	7	17	1.24	0.41	5.38	5.04	10600000	80000000	47	0.307892091	2.067031504
ITS-105	R3B	ECO	NH4	La Rioja	T0	0	42.1223076	-1.8856191	Tempranillo	1094	3.47	214.45	332	87	1.88	0	0	0	900	56000000	19	0.991067896	5.113610878
ITS-176	R3B	ECO	NH4	La Rioja	T1	72	42.1223076	-1.8856191	Tempranillo	1094	3.47	155.96	155	22	1.31	0.07	4.46	9.85	41500000	56000000	19	0.991067896	5.113610878
ITS-247	R3B	ECO	NH4	La Rioja	T2	336	42.1223076	-1.8856191	Tempranillo	1094	3.47	102.84	75	87	1.17	0.19	5.28	11.7	12000	56000000	19	0.991067896	5.113610878
ITS-123	R3B	ECO	SO2	La Rioja	T0	0	42.1223076	-1.8856191	Tempranillo	1094	3.47	234.13	14	31	1.9	0	0	0	760	56400000	39	0.505925251	2.494236257
ITS-194	R3B	ECO	SO2	La Rioja	T1	336	42.1223076	-1.8856191	Tempranillo	1094	3.47	164.06	32	4	1.57	0.06	5.12	9.79	18900000	56400000	39	0.505925251	2.494236257
ITS-265	R3B	ECO	SO2	La Rioja	T2	600	42.1223076	-1.8856191	Tempranillo	1094	3.47	104.81	10	19	1.25	0.27	5.75	10.02	3400000	56400000	39	0.505925251	2.494236257
