Seq_ID	Origin	Farming	Condition	Sample_ID	Region	Time	Latitude	Longitude	Variety	Collection_date	Density	pH	Ammonia	Sugars	Malic_acid	PAN
ITS-74	RdG	Conv	18C	RdG-Conv-18C	Ribera del Guadiana	0_initial	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	186	232.54	0.48	172
ITS-92	RdG	Conv	NH4	RdG-Conv-NH4	Ribera del Guadiana	0_initial	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	522	217.57	0.47	220
ITS-110	RdG	Conv	SO2	RdG-Conv-SO2	Ribera del Guadiana	0_initial	38.771684	-6.127178	Garnacha	11/08/2020	1091	3.45	161	226.03	0.46	169
ITS-55	RdG	Eco	Control	RdG-Eco-Control	Ribera del Guadiana	0_initial	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	20	243.03	1.92	68
ITS-73	RdG	Eco	18C	RdG-Eco-18C	Ribera del Guadiana	0_initial	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	14	248.17	1.97	70
ITS-91	RdG	Eco	NH4	RdG-Eco-NH4	Ribera del Guadiana	0_initial	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	350	234.13	2.06	115
ITS-109	RdG	Eco	SO2	RdG-Eco-SO2	Ribera del Guadiana	0_initial	38.78781	-6.14729	Tempranillo	11/08/2020	1096	3.91	14	247.86	1.98	71
ITS-62	VLP	Conv	Control	VLP-Conv-Control	Valdepeñas	0_initial	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	45	190.39	1.52	110
ITS-80	VLP	Conv	18C	VLP-Conv-18C	Valdepeñas	0_initial	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	41	191.2	1.47	106
ITS-98	VLP	Conv	NH4	VLP-Conv-NH4	Valdepeñas	0_initial	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	339	193.94	1.51	127
ITS-116	VLP	Conv	SO2	VLP-Conv-SO2	Valdepeñas	0_initial	38.815116	-3.391011	Tempranillo	31/08/2020	1084	3.79	42	205.61	1.49	107
ITS-61	VLP	Eco	Control	VLP-Eco-Control	Valdepeñas	0_initial	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	60	224.78	1.15	129
ITS-79	VLP	Eco	18C	VLP-Eco-18C	Valdepeñas	0_initial	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	56	237.14	1.27	124
ITS-97	VLP	Eco	NH4	VLP-Eco-NH4	Valdepeñas	0_initial	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	360	226.26	1	149
ITS-115	VLP	Eco	SO2	VLP-Eco-SO2	Valdepeñas	0_initial	38.815643	-3.3908634	Tempranillo	31/08/2020	1094	3.78	45	240.3	1.16	123
