Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-122	R3A	CONV	SO2	0_initial	0	42.1399472	-1.8816524	Tempranillo	02/09/2020	1098	3.68	0	23	243.84	0	0	2.41	48	NA	NA	NA	NA	NA	1.60E+03	6.00E+07	32	0.398744379	0.09	144	Rioja
ITS-67	R3A	ECO	Control	0_initial	0	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0	36	245.12	0	0	1.86	47	NA	NA	NA	NA	NA	0.00E+00	4.40E+07	19	0.649283083	0.16	96	Rioja
ITS-85	R3A	ECO	18C	0_initial	0	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0	40	247.39	0	0	2.05	51	NA	NA	NA	NA	NA	0.00E+00	4.00E+07	28	0.569352897	0.11	144	Rioja
ITS-103	R3A	ECO	NH4	0_initial	0	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0	374	217.63	0	0	1.94	67	NA	NA	NA	NA	NA	0.00E+00	4.00E+07	19	0.493243803	0.17	96	Rioja
ITS-121	R3A	ECO	SO2	0_initial	0	42.1234189	-1.8844584	Tempranillo	02/09/2020	1096	3.51	0	40	242.18	0	0	1.91	49	NA	NA	NA	NA	NA	0.00E+00	8.00E+07	19	0.623033743	0.16	96	Rioja
ITS-70	R3B	CONV	Control	0_initial	0	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0	34	235.45	0	0	1.86	51	NA	NA	NA	NA	NA	8.10E+03	8.00E+07	47	0.529975313	0.1	144	Rioja
ITS-88	R3B	CONV	18C	0_initial	0	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0	42	238.13	0	0	1.64	50	NA	NA	NA	NA	NA	4.80E+03	8.00E+07	40	0.460692864	0.08	144	Rioja
ITS-106	R3B	CONV	NH4	0_initial	0	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0	333	219.21	0	0	1.75	69	NA	NA	NA	NA	NA	6.58E+03	3.20E+07	19	0.725743268	0.16	96	Rioja
ITS-124	R3B	CONV	SO2	0_initial	0	42.1399979	-1.8821292	Tempranillo	02/09/2020	1094	3.52	0	35	235.71	0	0	1.71	53	NA	NA	NA	NA	NA	1.00E+03	8.00E+07	24	0.621998434	0.14	192	Rioja
ITS-69	R3B	ECO	Control	0_initial	0	42.1223076	-1.8856191	Tempranillo	02/09/2020	1094	3.47	0	16	243.58	0	0	1.71	28	NA	NA	NA	NA	NA	1.16E+03	8.00E+07	21	0.458572173	0.14	96	Rioja
