Sample_ID	Origin	Farming	Condition	Region	Stage	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	Ethyl.acetate	Fusel.alcohol.acetates	Fusel.alcohols	EEFA	SCFA	MCFA
R3B-ECO-18C	R3B	ECO	18C	Rioja	3_end	0.41	7	95.46	5.38	5.04	1.24	17	8.71	0.5	0	1.33	2.93	55.912	23.759	399.535	0.000	1.162	3.611
R3B-ECO-NH4	R3B	ECO	NH4	Rioja	3_end	0.19	75	102.84	5.28	11.7	1.17	87	7.79	0	0.09	0.15	2.79	12.616	13.983	175.281	0.000	0.000	4.949
R3B-ECO-SO2	R3B	ECO	SO2	Rioja	3_end	0.27	10	104.81	5.75	10.02	1.25	19	8.52	0	0.03	1.05	2.95	15.770	44.492	238.253	0.000	3.478	3.297
R3C-CONV-Control	R3C	CONV	Control	Rioja	3_end	0.2	0	104.65	6.62	10.87	1.38	23	8.69	0.7	0.03	1.51	3.2	9.462	0.000	29.384	0.000	0.000	0.000
R3C-CONV-18C	R3C	CONV	18C	Rioja	3_end	0.27	0	90.72	6.68	8.16	1.07	9	9.34	0.33	0.07	1.44	3.13	16.646	24.523	239.537	0.000	1.872	5.820
R3C-CONV-NH4	R3C	CONV	NH4	Rioja	3_end	0.27	187	115.86	6.39	16.77	1.22	40	7.85	0	0.1	0.14	2.88	15.770	56.160	243.058	0.000	1.209	4.177
R3C-CONV-SO2	R3C	CONV	SO2	Rioja	3_end	0.24	15	90.53	8.42	4.15	1.3	14	9.92	1.07	0.07	1.83	3.32	22.529	2.602	447.629	0.000	0.000	10.385
R3C-ECO-Control	R3C	ECO	Control	Rioja	3_end	0.36	0	94.75	8.84	1.35	1.33	10	9.69	0.97	0.15	1.55	3.29	10.842	13.394	321.293	0.000	1.442	5.558
R3C-ECO-18C	R3C	ECO	18C	Rioja	3_end	0.4	0	104.39	8.41	0.49	1.58	23	9.23	0.48	0.17	1.39	3.28	37.848	39.443	684.066	0.000	3.012	13.650
R3C-ECO-NH4	R3C	ECO	NH4	Rioja	3_end	0.33	133	102.01	7.92	2.58	1.33	32	9.18	0.25	0.25	0.44	3.13	NA	NA	NA	NA	NA	NA
R3C-ECO-SO2	R3C	ECO	SO2	Rioja	3_end	0.35	0	127.78	8.02	0.16	1.73	27	7.79	0.8	0.24	1.21	3.27	29.287	35.762	512.529	0.000	0.616	4.863
RdG-CONV-Control	RdG	CONV	Control	Ribera del Guadiana	3_end	1.19	141	1.28	9.08	0.04	0.43	140	13.91	2.07	0	0.47	3.18	6.308	31.001	230.916	0.000	1.792	12.888
RdG-CONV-18C	RdG	CONV	18C	Ribera del Guadiana	3_end	0.68	183	26.61	8.67	0.01	1.09	91	12.39	2.23	0.06	0.7	3.22	19.090	26.789	154.845	0.000	11.745	6.505
RdG-CONV-NH4	RdG	CONV	NH4	Ribera del Guadiana	3_end	0.97	233	1.06	8.72	0.01	0.45	190	13.88	1.69	0	0.26	3.37	165.585	40.459	540.049	0.000	2.258	15.792
RdG-CONV-SO2	RdG	CONV	SO2	Ribera del Guadiana	3_end	0.86	139	0.42	8.37	0.01	0.42	110	13.78	1.84	0.05	0.45	3.21	68.337	32.928	557.941	0.000	2.932	9.301
